"","marca","modelo","pvp","cilindro","cc","potencia","rpm","peso","plazas","cons90","cons120","consurb","velocida","acel2"
"26","7","Niva 1.9 Diesel",-1.04227267011052,"4",-0.961404048813598,-1.41282699420267,-0.0989887616371708,-1.49860530006222,"5",-1.14135563240473,-1.3446459369146,-1.41910190650022,-1.40617250529362,"2"
"27","8","Defender 90 TDI t. l",-0.48635719296851,"4",-0.10819295160772,-0.135214037877724,-0.936929746150466,0.0552008491373906,"6",0.718831377140357,-1.57494813158523,0.383188047667225,-1.22558528286721,"2"
"28","8","Defender 90 TDI Pick",-0.48635719296851,"4",-0.10819295160772,-0.135214037877724,-0.936929746150466,0.0521837498185564,"2",0.718831377140357,-1.57494813158523,0.383188047667225,-1.22558528286721,"2"
"29","8","Defender 90 TDI t. d",-0.386759247937832,"4",-0.10819295160772,-0.135214037877724,-0.936929746150466,0.209072914397935,"6",0.718831377140357,-1.57494813158523,0.383188047667225,-1.22558528286721,"2"
"30","8","Defender 110 TDI Pic",-0.386759247937832,"4",-0.10819295160772,-0.135214037877724,-0.936929746150466,0.613364223121717,"2",0.581039746803683,-1.08777041208967,0.736578234758882,-1.52656398691122,"2"
"31","8","Defender 110 TDI PU",-0.288709457493123,"4",-0.10819295160772,-0.135214037877724,-0.936929746150466,0.724996897918582,"2",0.581039746803683,-1.08777041208967,0.736578234758882,-1.52656398691122,"2"
"32","8","Defender 110 TDI t.d",-0.248457438257927,"4",-0.10819295160772,-0.135214037877724,-0.936929746150466,0.712928500643245,"8",0.581039746803683,-1.08777041208967,0.736578234758882,-1.52656398691122,"2"
"33","8","Defender 110 TDI 5p",-0.115316143864586,"4",-0.10819295160772,-0.135214037877724,-0.936929746150466,1.02972392912084,"9",0.581039746803683,-1.08777041208967,0.736578234758882,-1.52656398691122,"2"
"34","8","Discovery TDI Base 3",-0.198916491506916,"4",-0.10819295160772,-0.135214037877724,-0.936929746150466,0.97541614138182,"5",-1.55473052341475,-0.954903761318158,-1.38376288779106,-0.262453429926378,"2"
"35","8","Discovery TDI Base 5",0.172124557597008,"4",-0.10819295160772,-0.135214037877724,-0.936929746150466,1.12627110732353,"8",-1.55473052341475,-0.954903761318158,-1.38376288779106,-0.262453429926378,"2"
"36","8","Discovery TDI Lujo 5",0.299073233646472,"4",-0.10819295160772,-0.135214037877724,-0.936929746150466,1.17152759710604,"8",-1.55473052341475,-0.954903761318158,-1.38376288779106,-0.262453429926378,"2"
"37","8","Range Rover 4.0 SE",2.02681375158797,"8",1.9959123813322,1.94090701615032,0.110496484491153,1.2469550800769,"5",1.06331045298204,0.595207164349514,2.15013898312551,2.26576768404331,"2"
"38","8","Range Rover 4.6 HSE",2.86694564024053,"8",2.86936916559042,2.87249979680392,0.110496484491153,1.63917799152534,"5",1.75226860466541,0.860940465892544,3.38700463794631,2.74733361051373,"2"
"39","8","Range Rover Classic",0.444599764727566,"4",-0.10819295160772,-0.135214037877724,-0.936929746150466,0.91809125432397,"5",-0.17681422004802,-0.866325994137149,-0.995033681990236,-0.0216704666911696,"2"
